import time: self [us] | cumulative | imported package
import time:       262 |       1755 |               requests.certs
import time:       166 |        166 |               requests.__version__
import time:       324 |        324 |               requests._internal_utils
import time:       408 |        408 |               requests._types
import time:       409 |        409 |               requests.cookies
import time:       276 |        276 |               requests.structures
import time:       254 |        254 |               importlib.resources._adapters
import time:       111 |        111 |                   importlib.resources._itertools
import time:       275 |        386 |                 importlib.resources.readers
import time:       179 |        564 |               importlib.readers
import time:      3019 |       7172 |             requests.utils
import time:       270 |        270 |                   requests.auth
import time:       317 |        317 |                       stringprep
import time:       298 |        614 |                     encodings.idna
import time:       186 |        186 |                     requests.hooks
import time:       329 |        329 |                     requests.status_codes
import time:       481 |       1608 |                   requests.models
import time:        89 |         89 |                     urllib3.contrib
import time:        30 |         30 |                     socks
import time:       175 |        293 |                   urllib3.contrib.socks
import time:       312 |       2482 |                 requests.adapters
import time:       353 |       2834 |               requests.sessions
import time:       116 |       2949 |             requests.api
import time:       362 |      73290 |           requests
import time:      1780 |       1780 |                 pydantic.functional_validators
import time:       330 |        330 |                 pydantic._internal._discriminated_union
import time:       297 |        297 |                 pydantic._internal._known_annotated_metadata
import time:       338 |        338 |                 pydantic._internal._schema_gather
import time:       719 |       3462 |               pydantic._internal._generate_schema
import time:       253 |        253 |               pydantic._internal._signature
import time:       376 |       4090 |             pydantic._internal._model_construction
import time:       190 |        190 |             pydantic.plugin._loader
import time:       210 |        210 |             pydantic._internal._decorators_v1
import time:       335 |        335 |                     pydantic.v1.typing
import time:       889 |       1223 |                   pydantic.v1.errors
import time:        31 |         31 |                       cython
import time:       186 |        216 |                     pydantic.v1.version
import time:       488 |        703 |                   pydantic.v1.utils
import time:       267 |       2193 |                 pydantic.v1.class_validators
import time:       508 |        508 |                 pydantic.v1.config
import time:       193 |        193 |                       colorsys
import time:       355 |        548 |                     pydantic.v1.color
import time:       708 |        708 |                         pydantic.v1.datetime_parse
import time:       315 |       1022 |                       pydantic.v1.validators
import time:       551 |       1573 |                     pydantic.v1.networks
import time:       847 |        847 |                     pydantic.v1.types
import time:       227 |       3193 |                   pydantic.v1.json
import time:       232 |       3425 |                 pydantic.v1.error_wrappers
import time:       422 |        422 |                 pydantic.v1.fields
import time:       247 |        247 |                       _compat_pickle
import time:      1058 |       1058 |                       _pickle
import time:       509 |       1813 |                     pickle
import time:       314 |       2126 |                   pydantic.v1.parse
import time:       422 |        422 |                   pydantic.v1.schema
import time:       512 |       3060 |                 pydantic.v1.main
import time:       330 |       9935 |               pydantic.v1.dataclasses
import time:       237 |        237 |               pydantic.v1.annotated_types
import time:       233 |        233 |               pydantic.v1.decorator
import time:       519 |        519 |               pydantic.v1.env_settings
import time:       250 |        250 |               pydantic.v1.tools
import time:       185 |      11356 |             pydantic.v1
import time:      7848 |      23692 |           langchain_core.utils.pydantic
import time:       426 |     109050 |         langchain_core.utils.utils
import time:       197 |     109246 |       langchain_core.messages
import time:       555 |        555 |               langchain_core.load.serializable
import time:        99 |        654 |             langchain_core.load._validation
import time:       251 |        251 |             langchain_core.load.mapping
import time:       189 |        189 |             langchain_core.load.validators
import time:       414 |       1507 |           langchain_core.load.load
import time:        99 |       1605 |         langchain_core.load
import time:         9 |       1614 |       langchain_core.load.serializable
import time:       238 |        238 |       langchain_core.utils._merge
import time:       153 |        153 |       langchain_core.utils.interactive_env
import time:       214 |        214 |           xml
import time:       222 |        222 |             xml.sax.handler
import time:       235 |        235 |             xml.sax._exceptions
import time:       301 |        758 |           xml.sax.xmlreader
import time:       225 |       1196 |         xml.sax
import time:       265 |       1461 |       xml.sax.saxutils
import time:       302 |        302 |       langchain_core.exceptions
import time:      1340 |       1340 |         langchain_core.messages.tool
import time:       276 |        276 |         langchain_core.utils.json
import time:        80 |         80 |         langchain_core.utils.usage
import time:      3512 |       5206 |       langchain_core.messages.ai
import time:       294 |        294 |           langchain_core.messages.block_translators.anthropic
import time:       139 |        139 |           langchain_core.messages.block_translators.bedrock
import time:       225 |        225 |           langchain_core.messages.block_translators.bedrock_converse
import time:        31 |         31 |             filetype
import time:       260 |        291 |           langchain_core.messages.block_translators.google_genai
import time:        79 |         79 |           langchain_core.messages.block_translators.google_vertexai
import time:       209 |        209 |           langchain_core.messages.block_translators.groq
import time:       277 |        277 |                 langchain_core.language_models._utils
import time:        99 |        376 |               langchain_core.language_models
import time:         7 |        383 |             langchain_core.language_models._utils
import time:       325 |        708 |           langchain_core.messages.block_translators.openai
import time:       273 |       2214 |         langchain_core.messages.block_translators
import time:         9 |       2222 |       langchain_core.messages.block_translators.openai
import time:       792 |        792 |       langchain_core.messages.chat
import time:       713 |        713 |       langchain_core.messages.function
import time:       900 |        900 |       langchain_core.messages.human
import time:       404 |        404 |       langchain_core.messages.modifier
import time:       723 |        723 |       langchain_core.messages.system
import time:        95 |         95 |         langchain_core.utils.json_schema
import time:       430 |        524 |       langchain_core.utils.function_calling
import time:        83 |         83 |           langchain_core.documents
import time:       431 |        513 |         langchain_text_splitters.base
import time:       109 |        622 |       langchain_text_splitters
import time:        89 |         89 |       langchain_core.utils.env
import time:      1218 |       1218 |             uuid_utils._uuid_utils
import time:       116 |       1334 |           uuid_utils
import time:       112 |       1446 |         uuid_utils.compat
import time:        79 |       1524 |       langchain_core.utils.uuid
import time:      3754 |     132027 |     langchain_core.callbacks.manager
import time:       852 |        852 |     langchain_core.runnables.utils
import time:       670 |     159492 |   langchain_core.runnables.config
import time:      2982 |       2982 |         langchain_protocol.protocol
import time:       120 |       3102 |       langchain_protocol
import time:         9 |       3110 |     langchain_protocol.protocol
import time:        93 |         93 |       langchain_core.outputs
import time:       951 |       1044 |     langchain_core.caches
import time:       290 |        290 |     langchain_core.language_models._compat_bridge
import time:       100 |        100 |         pydantic._internal._serializers
import time:      1762 |       1862 |       langchain_core.prompt_values
import time:        92 |         92 |         langchain_core.tracers
import time:       171 |        263 |       langchain_core.tracers._streaming
import time:       284 |        284 |         langchain_core.outputs.run_info
import time:       351 |        351 |         langchain_core.runnables.schema
import time:       300 |        300 |           pprint
import time:       349 |        349 |             jsonpointer
import time:       405 |        753 |           jsonpatch
import time:       215 |        215 |                 langsmith
import time:        82 |         82 |                     langsmith._internal
import time:       184 |        265 |                   langsmith._internal._context
import time:     28208 |      28208 |                   langsmith.schemas
import time:       261 |        261 |                       httpx.__version__
import time:       447 |        447 |                             httpx._exceptions
import time:       478 |        478 |                                   httpx._types
import time:       129 |        129 |                                   httpx._utils
import time:       463 |       1069 |                                 httpx._multipart
import time:       224 |       1292 |                               httpx._content
import time:        32 |         32 |                                 brotli
import time:        27 |         27 |                                 brotlicffi
import time:        29 |         29 |                                     _wmi
import time:       532 |        560 |                                   platform
import time:      1227 |       1227 |                                   zstandard.backend_c
import time:       410 |       2196 |                                 zstandard
import time:       350 |       2603 |                               httpx._decoders
import time:       503 |        503 |                               httpx._status_codes
import time:       787 |        787 |                                 httpx._urlparse
import time:       381 |       1168 |                               httpx._urls
import time:       651 |       6214 |                             httpx._models
import time:       414 |       7074 |                           httpx._auth
import time:       298 |        298 |                           httpx._config
import time:       216 |        216 |                                 httpx._transports.base
import time:       217 |        432 |                               httpx._transports.asgi
import time:       315 |        315 |                               httpx._transports.default
import time:       221 |        221 |                               httpx._transports.mock
import time:       229 |        229 |                               httpx._transports.wsgi
import time:       223 |       1418 |                             httpx._transports
import time:        15 |       1433 |                           httpx._transports.base
import time:       536 |       9340 |                         httpx._client
import time:       131 |       9470 |                       httpx._api
import time:       401 |        401 |                               click._compat
import time:       175 |        175 |                                 click.globals
import time:       284 |        284 |                                 click.utils
import time:       314 |        773 |                               click.exceptions
import time:       650 |       1823 |                             click.types
import time:       251 |        251 |                             click._utils
import time:       295 |        295 |                               click.parser
import time:       258 |        553 |                             click.formatting
import time:       247 |        247 |                             click.termui
import time:      1020 |       3891 |                           click.core
import time:       305 |        305 |                           click.decorators
import time:       274 |       4469 |                         click
import time:       196 |        196 |                           pygments
import time:      1002 |       1002 |                           pygments.lexers._mapping
import time:       329 |        329 |                           pygments.modeline
import time:       125 |        125 |                           pygments.plugin
import time:       482 |        482 |                           pygments.util
import time:       298 |       2431 |                         pygments.lexers
import time:       248 |        248 |                             rich._extension
import time:       167 |        414 |                           rich
import time:       251 |        251 |                           rich._null_file
import time:       237 |        237 |                           rich.errors
import time:       182 |        182 |                                       rich.color_triplet
import time:       221 |        402 |                                     rich.palette
import time:       206 |        608 |                                   rich._palettes
import time:       258 |        258 |                                   rich.repr
import time:       213 |        213 |                                   rich.terminal_theme
import time:       610 |       1688 |                                 rich.color
import time:       317 |       2004 |                               rich.style
import time:       482 |       2486 |                             rich.default_styles
import time:       222 |        222 |                             rich.theme
import time:       231 |       2937 |                           rich.themes
import time:       298 |        298 |                           rich._emoji_replace
import time:       161 |        161 |                           rich._export_format
import time:       578 |        578 |                           rich._fileno
import time:        80 |         80 |                               rich._loop
import time:        69 |         69 |                               rich._pick
import time:       230 |        230 |                                     rich._unicode_data._versions
import time:       106 |        335 |                                   rich._unicode_data
import time:       397 |        732 |                                 rich.cells
import time:       104 |        835 |                               rich._wrap
import time:       660 |        660 |                                     rich.segment
import time:       208 |        867 |                                   rich.jupyter
import time:        85 |         85 |                                     rich.protocol
import time:       338 |        422 |                                   rich.measure
import time:        88 |       1376 |                                 rich.constrain
import time:       273 |       1649 |                               rich.align
import time:       186 |        186 |                               rich.containers
import time:       241 |        241 |                               rich.control
import time:       112 |        112 |                               rich.emoji
import time:       560 |       3729 |                             rich.text
import time:       250 |       3979 |                           rich._log_render
import time:       310 |        310 |                           rich.highlighter
import time:       385 |        385 |                           rich.markup
import time:       134 |        134 |                           rich.pager
import time:       166 |        166 |                           rich.region
import time:       122 |        122 |                           rich.screen
import time:       106 |        106 |                           rich.styled
import time:      1561 |      11632 |                         rich.console
import time:      1013 |       1013 |                           mmap
import time:       103 |        103 |                           rich.filesize
import time:       277 |        277 |                               rich.ansi
